Institute Name,Academic Program,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Malaviya National
Institute of
Technology Jaipur","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",39308,48668
"Maulana Azad
National Institute of
Technology Bhopal","Architecture (5 Years,
Bachelor of
Architecture)",HS,OPEN,Gender-Neutral,796,2945
"Maulana Azad
National Institute of
Technology Bhopal","Architecture (5 Years,
Bachelor of
Architecture)",HS,OPEN,"Female-only
(including
Supernumerary)",843,1269
"Maulana Azad
National Institute of
Technology Bhopal","Architecture (5 Years,
Bachelor of
Architecture)",OS,OPEN,Gender-Neutral,947,1469
"Maulana Azad
National Institute of
Technology Bhopal","Architecture (5 Years,
Bachelor of
Architecture)",OS,OPEN,"Female-only
(including
Supernumerary)",849,1080
"Maulana Azad
National Institute of
Technology Bhopal","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,27303,38413
"Maulana Azad
National Institute of
Technology Bhopal","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",25924,37635
"Maulana Azad
National Institute of
Technology Bhopal","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,30761,34554
"Maulana Azad
National Institute of
Technology Bhopal","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",39181,41894
"Maulana Azad
National Institute of
Technology Bhopal","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,29755,42663
"Maulana Azad
National Institute of
Technology Bhopal","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",47043,56610
"Maulana Azad
National Institute of
Technology Bhopal","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,24066,39973
"Maulana Azad
National Institute of
Technology Bhopal","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",41996,51012
"Maulana Azad
National Institute of
Technology Bhopal","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,6025,10832
"Maulana Azad
National Institute of
Technology Bhopal","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",7156,15768
"Maulana Azad
National Institute of
Technology Bhopal","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,6217,8830
"Maulana Azad
National Institute of
Technology Bhopal","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",9487,14804
"Maulana Azad
National Institute of
Technology Bhopal","Electrical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,11659,21323
"Maulana Azad
National Institute of
Technology Bhopal","Electrical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",25923,30690
"Maulana Azad
National Institute of
Technology Bhopal","Mathematics and Data
Science (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",HS,OPEN,"Female-only
(including
Supernumerary)",21932,21932
"Maulana Azad
National Institute of
Technology Bhopal","Mathematics and Data
Science (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",OS,OPEN,Gender-Neutral,12973,14740
"Maulana Azad
National Institute of
Technology Bhopal","Mathematics and Data
Science (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",OS,OPEN,"Female-only
(including
Supernumerary)",21302,21302
"Maulana Azad
National Institute of
Technology Bhopal","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,22235,34634
"Maulana Azad
National Institute of
Technology Bhopal","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",41538,49166
"Maulana Azad
National Institute of
Technology Bhopal","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,22699,29993
"Maulana Azad
National Institute of
Technology Bhopal","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",36154,42003
"Maulana Azad
National Institute of
Technology Bhopal","Planning (4 Years,
Bachelor of Planning)",HS,OPEN,Gender-Neutral,726,3194
"Maulana Azad
National Institute of
Technology Bhopal","Planning (4 Years,
Bachelor of Planning)",HS,OPEN,"Female-only
(including
Supernumerary)",540,696
"Maulana Azad
National Institute of
Technology Bhopal","Planning (4 Years,
Bachelor of Planning)",OS,OPEN,Gender-Neutral,339,781
"Maulana Azad
National Institute of
Technology Bhopal","Planning (4 Years,
Bachelor of Planning)",OS,OPEN,"Female-only
(including
Supernumerary)",555,640
"National Institute of
Technology Agartala","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,50675,55914
"National Institute of
Technology Agartala","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",60642,60830
"National Institute of
Technology Agartala","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,173466,231324
"National Institute of
Technology Agartala","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",161018,206719
"National Institute of
Technology Agartala","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,42401,50320
"National Institute of
Technology Agartala","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",51123,56710
"National Institute of
Technology Agartala","Chemistry (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",HS,OPEN,Gender-Neutral,246115,299281
"National Institute of
Technology Agartala","Chemistry (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",OS,OPEN,Gender-Neutral,55119,57997
"National Institute of
Technology Agartala","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,153525,217289
"National Institute of
Technology Agartala","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",175593,231406
"National Institute of
Technology Agartala","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,41899,53657
"National Institute of
Technology Agartala","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",64979,66493
"National Institute of
Technology Agartala","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,92131,173117
"National Institute of
Technology Agartala","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",144503,184292
"National Institute of
Technology Agartala","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,35554,46675
"National Institute of
Technology Agartala","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",49305,58864
"National Institute of
Technology Agartala","Physics (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",HS,OPEN,Gender-Neutral,127978,236979
"National Institute of
Technology Agartala","Physics (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",OS,OPEN,Gender-Neutral,18136,51420
"National Institute of
Technology Agartala","Production Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,227666,307180
"National Institute of
Technology Agartala","Production Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",229506,261203
"National Institute of
Technology Agartala","Production Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,46759,56865
"National Institute of
Technology Agartala","Production Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",59503,65780
"National Institute of
Technology Calicut","Architecture (5 Years,
Bachelor of
Architecture)",HS,OPEN,Gender-Neutral,68,271
"National Institute of
Technology Calicut","Architecture (5 Years,
Bachelor of
Architecture)",HS,OPEN,"Female-only
(including
Supernumerary)",83,138
"National Institute of
Technology Calicut","Architecture (5 Years,
Bachelor of
Architecture)",OS,OPEN,Gender-Neutral,239,466
"National Institute of
Technology Calicut","Architecture (5 Years,
Bachelor of
Architecture)",OS,OPEN,"Female-only
(including
Supernumerary)",256,292
"National Institute of
Technology Calicut","Bio Technology (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,30858,32869
"National Institute of
Technology Calicut","Bio Technology (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",18789,18789
"National Institute of
Technology Calicut","Bio Technology (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,23927,35922
"National Institute of
Technology Calicut","Bio Technology (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",27660,32481
"National Institute of
Technology Calicut","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,19284,30934
"National Institute of
Technology Calicut","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",21455,27393
"National Institute of
Technology Calicut","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,20381,26194
"National Institute of
Technology Calicut","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",25156,34601
"National Institute of
Technology Calicut","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,26868,40264
"National Institute of
Technology Calicut","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",22602,35697
"National Institute of
Technology Calicut","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,25679,33650
"National Institute of
Technology Calicut","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",40047,43260
"National Institute of
Technology Calicut","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,4488,9271
"National Institute of
Technology Calicut","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",5110,9330
"National Institute of
Technology Calicut","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,2614,4482
"National Institute of
Technology Calicut","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",4989,8068
"National Institute of
Technology Calicut","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,12281,15954
"National Institute of
Technology Calicut","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",14981,19402
"National Institute of
Technology Calicut","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,7989,11415
"National Institute of
Technology Calicut","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",13966,15780
"National Institute of
Technology Calicut","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,8055,12264
"National Institute of
Technology Calicut","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",9897,13963
"National Institute of
Technology Calicut","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,4721,7433
"National Institute of
Technology Calicut","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",9361,10983
"National Institute of
Technology Calicut","Engineering Physics (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,15963,21437
"National Institute of
Technology Calicut","Engineering Physics (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",24186,24186
"National Institute of
Technology Calicut","Engineering Physics (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,8191,16218
"National Institute of
Technology Calicut","Engineering Physics (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",25618,26715
"National Institute of
Technology Calicut","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,30870,36082
"National Institute of
Technology Calicut","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",32439,32439
"National Institute of
Technology Calicut","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,20228,33674
"National Institute of
Technology Calicut","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",44098,44098
"National Institute of
Technology Calicut","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,16058,22280
"National Institute of
Technology Calicut","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",20145,27770
"National Institute of
Technology Calicut","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,15174,20611
"National Institute of
Technology Calicut","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",26987,30239
"National Institute of
Technology Calicut","Production Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,34977,41705
"National Institute of
Technology Calicut","Production Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",35414,38975
"National Institute of
Technology Calicut","Production Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,27217,33433
"National Institute of
Technology Calicut","Production Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",39536,41373
"National Institute of
Technology Delhi","Aerospace Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,17286,19407
"National Institute of
Technology Delhi","Aerospace Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",32479,32479
"National Institute of
Technology Delhi","Aerospace Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,5998,14243
"National Institute of
Technology Delhi","Aerospace Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",6370,6370
"National Institute of
Technology Delhi","Artificial Intelligence and
Data Science (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,9112,12510
"National Institute of
Technology Delhi","Artificial Intelligence and
Data Science (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",16573,16573
"National Institute of
Technology Delhi","Artificial Intelligence and
Data Science (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,8339,8572
"National Institute of
Technology Delhi","Artificial Intelligence and
Data Science (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",13111,13111
"National Institute of
Technology Delhi","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,32836,36329
"National Institute of
Technology Durgapur","Chemical Engineering (5
Years, Bachelor and
Master of Technology
(Dual Degree))",OS,OPEN,"Female-only
(including
Supernumerary)",44280,44280
"National Institute of
Technology Durgapur","Chemistry (5 Years,
Integrated Master of
Science)",HS,OPEN,Gender-Neutral,53000,55579
"National Institute of
Technology Durgapur","Chemistry (5 Years,
Integrated Master of
Science)",HS,OPEN,"Female-only
(including
Supernumerary)",55746,55746
"National Institute of
Technology Durgapur","Chemistry (5 Years,
Integrated Master of
Science)",OS,OPEN,Gender-Neutral,52850,54181
"National Institute of
Technology Durgapur","Chemistry (5 Years,
Integrated Master of
Science)",OS,OPEN,"Female-only
(including
Supernumerary)",62067,62067
"National Institute of
Technology Durgapur","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,30900,44468
"National Institute of
Technology Durgapur","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",48151,53154
"National Institute of
Technology Durgapur","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,33236,40215
"National Institute of
Technology Durgapur","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",49272,50702
"National Institute of
Technology Durgapur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,5446,14090
"National Institute of
Technology Durgapur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",10671,18785
"National Institute of
Technology Durgapur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,5973,8765
"National Institute of
Technology Durgapur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",9300,11623
"National Institute of
Technology Durgapur","Electrical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,20004,23223
"National Institute of
Technology Durgapur","Electrical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",27454,32123
"National Institute of
Technology Durgapur","Electrical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,14715,19559
"National Institute of
Technology Durgapur","Electrical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",23914,31268
"National Institute of
Technology Durgapur","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,12069,19252
"National Institute of
Technology Durgapur","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",22279,23007
"National Institute of
Technology Durgapur","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,9270,13608
"National Institute of
Technology Durgapur","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",17085,20568
"National Institute of
Technology Durgapur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,24328,32976
"National Institute of
Technology Durgapur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",36478,49258
"National Institute of
Technology Durgapur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,22071,27957
"National Institute of
Technology Durgapur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",32026,34829
"National Institute of
Technology Durgapur","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,39831,48076
"National Institute of
Technology Durgapur","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",49336,51939
"National Institute of
Technology Durgapur","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,31491,44399
"National Institute of
Technology Durgapur","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",52069,56452
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",GO,OPEN,Gender-Neutral,50452,83278
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",GO,OPEN,"Female-only
(including
Supernumerary)",104222,104222
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,89452,89452
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",674299,674299
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,40468,44014
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",48672,52955
"National Institute of
Technology Goa","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",GO,OPEN,Gender-Neutral,7705,27417
"National Institute of
Technology Goa","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",GO,OPEN,"Female-only
(including
Supernumerary)",37084,38936
"National Institute of
Technology Goa","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,22250,34858
"National Institute of
Technology Goa","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,7914,12511
"National Institute of
Technology Goa","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",13339,13339
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",GO,OPEN,Gender-Neutral,47017,64325
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",GO,OPEN,"Female-only
(including
Supernumerary)",99933,99933
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,46614,46614
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",67170,67170
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,17714,23326
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",26478,26968
"National Institute of
Technology Goa","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",GO,OPEN,Gender-Neutral,22186,37814
"National Institute of
Technology Goa","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",GO,OPEN,"Female-only
(including
Supernumerary)",47556,77244
"National Institute of
Technology Hamirpur","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",70239,100330
"National Institute of
Technology Hamirpur","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,25381,39188
"National Institute of
Technology Hamirpur","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",37417,48228
"National Institute of
Technology Hamirpur","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,62609,111536
"National Institute of
Technology Hamirpur","Civil Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",81065,106671
"National Institute of
Technology Hamirpur","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,37193,45502
"National Institute of
Technology Hamirpur","Civil Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",50581,54283
"National Institute of
Technology Hamirpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,12871,28278
"National Institute of
Technology Hamirpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",21216,34884
"National Institute of
Technology Hamirpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,8376,12236
"National Institute of
Technology Hamirpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",15238,19951
"National Institute of
Technology Hamirpur","Computer Science and
Engineering (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",HS,OPEN,Gender-Neutral,28887,35206
"National Institute of
Technology Hamirpur","Electronics and
Communication
Engineering (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",HS,OPEN,Gender-Neutral,37997,55371
"National Institute of
Technology Hamirpur","Electronics and
Communication
Engineering (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",HS,OPEN,"Female-only
(including
Supernumerary)",52712,52712
"National Institute of
Technology Hamirpur","Electronics and
Communication
Engineering (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",OS,OPEN,Gender-Neutral,18631,19942
"National Institute of
Technology Hamirpur","Electronics and
Communication
Engineering (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",OS,OPEN,"Female-only
(including
Supernumerary)",28452,28452
"National Institute of
Technology Hamirpur","Engineering Physics (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,68752,111665
"National Institute of
Technology Hamirpur","Engineering Physics (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",90040,98630
"National Institute of
Technology Hamirpur","Engineering Physics (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,21249,35666
"National Institute of
Technology Hamirpur","Engineering Physics (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",39193,39672
"National Institute of
Technology Hamirpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,97104,114907
"National Institute of
Technology Hamirpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",98224,98224
"National Institute of
Technology Hamirpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,45178,46742
"National Institute of
Technology Hamirpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",50743,54073
"National Institute of
Technology Hamirpur","Mathematics and
Computing (4 Years,
Bachelor of Technology)",HS,OPEN,Gender-Neutral,29739,41618
"National Institute of
Technology Hamirpur","Mathematics and
Computing (4 Years,
Bachelor of Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",49236,52970
"National Institute of
Technology Hamirpur","Mathematics and
Computing (4 Years,
Bachelor of Technology)",OS,OPEN,Gender-Neutral,13016,16502
"National Institute of
Technology Hamirpur","Mathematics and
Computing (4 Years,
Bachelor of Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",23682,23719
"National Institute of
Technology Hamirpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,48580,79041
"National Institute of
Technology Hamirpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",77720,111152
"National Institute of
Technology Hamirpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,27676,35236
"National Institute of
Technology Hamirpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",43377,48988
"National Institute of
Technology
Karnataka, Surathkal","Artificial Intelligence (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,3114,3717
"National Institute of
Technology
Karnataka, Surathkal","Artificial Intelligence (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",3948,6233
"National Institute of
Technology
Karnataka, Surathkal","Artificial Intelligence (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,2138,2594
"National Institute of
Technology
Karnataka, Surathkal","Artificial Intelligence (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",4354,4354
"National Institute of
Technology
Karnataka, Surathkal","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,9458,19080
"National Institute of
Technology
Karnataka, Surathkal","Chemical Engineering (4
Years, Bachelor of
Technology)",HS,OPEN,"Female-only
(including
Supernumerary)",17900,22991
"National Institute of
Technology
Karnataka, Surathkal","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,Gender-Neutral,11762,15195
"National Institute of
Technology
Karnataka, Surathkal","Chemical Engineering (4
Years, Bachelor of
Technology)",OS,OPEN,"Female-only
(including
Supernumerary)",20811,21059
